neg + main,id,cat,perm,temp,loc,ex,poss
[gl](np)~[gl](pred)~ [mp](pirare-nothing?nt),✓ [exref](id-main-neg-npred-pirare),,,,,,
[gl](np)~[gl](pred)~ [mp](pinire-nothing?nt) (+ [gl](np)~[gl](subj)~),✓ [exref](id-main-neg-npred-pinire-nsubj) / ✓ [exref](id-main-neg-npred-pinire),✓ [exref](cat-main-neg-npred-pinire) / ✓ [exref](cat-main-neg-npred-pinire-nsubj),✓ [exref](perm-main-neg-nsubj-npred-pinire) / ✓ [exref](perm-main-neg-adv-mi-pinire-nsubj) / ✓ [exref](perm-main-neg-npred-pinire-nsubj),✓ [exref](temp-main-neg-npred-pinire),,,
[gl](np)~[gl](subj)~ [gl](cop) [gl](adv)~[gl](pred)~[mp](jraneg?nt),,,✓ [exref](perm-main-neg-nsubj-cop-adv-jra),,,,
[gl](np)~[gl](subj)~ [gl](cop) [mp](pinire-nothing?nt),,,✓ [exref](perm-main-neg-nsubj-cop-pinire),,,,
[gl](np)~[gl](pred)~ [mp](pinire-nothing?nt) [gl](cop),,,,✓ [exref](temp-main-neg-npred-pinire-cop),,,
[gl](adv)~[gl](pred)~ + [gl](cop)-[gl](neg) (+ [gl](np)~[gl](subj)~),,,,✓ [exref](temp-main-neg-advpred-nsubj-cop-neg) / ✓ [exref](temp-main-neg-cop-neg-advpred),,,
[gl](np)~[gl](pred)~ [mp](pinire-nothing?nt) [gl](cop) [mp](pinire-nothing?nt),,,,✓ [exref](temp-main-neg-npred-pinire-cop-pinire),,,
[gl](loc)~[gl](pred)~ + [gl](cop)-[gl](neg) (+ [gl](np)~[gl](subj)~),,,,✓ [exref](temp-main-neg-locpred-nsubj-cop-neg-cop),✓ [exref](loc-main-neg-n-akere-n-cop-neg) / ✓ [exref](loc-main-neg-n-akere-cop-neg-n),,
[gl](np)~[gl](pred)~[mp](jraneg?nt),,,,✓ [exref](temp-main-neg-npred-jra),,,
[gl](adv)~[gl](pred)~ + [gl](cop) + [mp](pinire-nothing?nt) (+ [gl](np)~[gl](subj)~),,,,✓ [exref](temp-main-neg-advpred-nsubj-cop-pinire) / ✓ [exref](temp-main-neg-advpred-cop-pinire),,,
([gl](np)~[gl](subj)~) [gl](adv)~[gl](pred)~[mp](jraneg?nt),,,,✓ [exref](temp-main-neg-n-adv-jra),,,
[gl](np)~[gl](subj)~ [gl](cop) [mp](pinire-nothing?nt) [gl](part)~loc-[gl](pred)~,,,,,✓ [exref](loc-main-neg-nsubj-cop-pinire-ente-loc),,
[gl](part)~loc-[gl](pred)~ + [mp](pinire-nothing?nt) (+[gl](np)~[gl](subj)~),,,,,✓ [exref](loc-main-neg-ente-loc-nsubj-pinire) / ✓ [exref](loc-main-neg-nsubj-mete-loc-pinire),,
[gl](loc)~[gl](pred)~ (+ [gl](np)~[gl](subj)~),,,,,,,✓ [exref](poss-main-neg-nsubj-n-inawe)
[mp](pirare-nothing?nt)~[gl](pred)~ + [gl](cop) (+ [gl](np)~[gl](subj)~),,,,,,✓ [exref](ex-main-neg-pirare-cop) / ✓ [exref](ex-main-neg-nsubj-cop-pirare) / ✓ [exref](ex-main-neg-pirare-cop-nsubj) / ✓ [exref](ex-main-neg-pirare-nsubj-cop) / ✓ [exref](ex-main-neg-cop-pirare),
[gl](part)~res~ + [mp](pirare-nothing?nt)~[gl](pred)~ (+[gl](np)~[gl](subj)~),,,,,,✓ [exref](ex-main-neg-pirare-ente-res) / ✓ [exref](ex-main-neg-ente-res-pirare) / ✓ [exref](ex-main-neg-n-ente-res-pirare),
[mp](pirare-nothing?nt)~[gl](pred)~ (+ [gl](np)~[gl](subj)~),,,,,,✓ [exref](ex-main-neg-nsubj-pirare) / ✓ [exref](ex-main-neg-pirare) / ✓ [exref](ex-main-neg-pirare-nsubj),
[gl](np)~[gl](subj)~ *marë* [mp](pirare-nothing?nt)~[gl](pred)~,,,,,,✓ [exref](ex-main-neg-nsubj-mare-pirare),
[gl](part)~res~ [mp](pirare-nothing?nt)~[gl](pred)~ + [gl](cop) + [gl](np)~[gl](subj)~,,,,,,✓ [exref](ex-main-neg-nsubj-cop-ente-res-pirare),
[mp](pirare-nothing?nt)~[gl](pred)~ [gl](np)~[gl](subj)~[mp](jraneg?nt),,,,,,✓ [exref](ex-main-neg-pirare-n-jra),
[gl](cop) [mp](pinire-nothing?nt),,,,,,✓ [exref](ex-main-neg-cop-pinire),
[gl](np)~[gl](subj)~ [gl](np)~[gl](pred)~[mp](jraneg?nt) [mp](pirare-nothing?nt),,,,,,,✓ [exref](poss-main-neg-nsubj-npred-jra-pirare)
