[m](readvz?nt),[m](yeadvz?nt)
[wf](aponore-narrowly),[wf](metejye-thin)
[wf](chipire-yellow),[wf](chiramujye-mangy)
[wf](chitenore-whole),[wf](chirimujye-moldy)
[wf](kojpayere-early-in-the-morning),[wf](kojpaye-night-perl)
[wf](korore-always),[wf](pekuye-full)
[wf](kemure-purulent),[wf](pijye-fat)
[wf](keyare-alive),[wf](potijye-smelly)
[wf](mesujre-bloody),[wf](pejye-bent)
[wf](mesure-bloody),[wf](rajye-sour)
[wf](nakire-thirsty),[wf](romoye-downriver-0)
[wf](pejre-bent),[wf](takiye-full)
[wf](tajchiwere-tangled-up),[wf](tenuyaye-sensible)
[wf](tajwere-sweet),[wf](wanemojye-round)
[wf](tapasajre-muddy),[wf](wanamojye-round)
[wf](tapire-red),[wf](yesajye-sour)
[wf](tasujre-wet),
[wf](turupore-voluntarily),
[wf](tenkeyare-competent),
[wf](tensamire-jealous),
[wf](tepujre-clingy),
[wf](tepire-flowery),
[wf](waimure-speaking),
[wf](wajyare-happy),
[wf](yemire-hungry),
